EY,AEP_percentage,AEP_1_in_x,ARI,freq_window,freq_label,freq_tag
12.0,99.99938557876466,1.000006144250105,0.08333333333333333,frequent,12EY,freq_12EY
6.0,99.75212478233337,1.0024849116568446,0.16666666666666666,frequent,6EY,freq_6EY
4.0,98.16843611112658,1.018657360363774,0.25,frequent,4EY,freq_4EY
3.0,95.0212931632136,1.052395696491256,0.3333333333333333,frequent,3EY,freq_3EY
2.0,86.46647167633873,1.1565176427496657,0.5,frequent,2EY,freq_2EY
1.0,63.212055882855765,1.5819767068693265,1.0,frequent,63.2%,freq_63_2_perc
0.6931471805599453,50.0,2.0,1.4426950408889634,frequent,50%,freq_50_perc
0.5,39.346934028736655,2.5414940825367984,2.0,frequent,0.5EY,freq_0_5EY
0.2231435513142097,20.0,5.0,4.481420117724551,frequent,20%,freq_20_perc
0.2,18.12692469220182,5.516655566126993,5.0,frequent,0.2EY,freq_0_2EY
0.10536051565782628,10.0,10.0,9.491221581029905,intermediate,10%,freq_10_perc
0.05129329438755058,5.0,20.0,19.495725746223673,intermediate,5%,freq_5_perc
0.020202707317519466,2.0,50.0,49.49831645250911,rare,2%,freq_2_perc
0.01005033585350145,1.0,100.0,99.49916247342207,rare,1%,freq_1_perc
0.005012541823544286,0.5,200.0,199.49958228835612,rare,1 in 200,freq_1_in_200
0.0020020026706730793,0.2,500.0,499.4998331664548,rare,1 in 500,freq_1_in_500
0.0010005003335835344,0.1,1000.0,999.4999166249727,rare,1 in 1000,freq_1_in_1000
0.0005001250416822429,0.05,2000.0,1999.4999583231336,rare,1 in 2000,freq_1_in_2000
0.0002000200026670447,0.02,5000.0,4999.499983332217,rare,1 in 5000,freq_1_in_5000
